reaction_id	reaction_id_type	components	Reaction	mel_type	bridge_position
m_273232bbbeb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbya	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbaa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbac	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbad	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbba	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbbb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbbc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbbd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbca	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbcb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbcc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbcd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbda	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbdb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbdc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbdd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbea	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbjb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
